model_name,axis,feature,coefficient
M3,x,t_norm,-0.009403369112302972
M3,x,x,-0.4690128859939629
M3,x,y,-0.4816560069847942
M3,x,v,-0.06598636880661328
M3,x,a,0.02962709730220893
M3,x,cos_theta,-0.49401188590283035
M3,x,sin_theta,0.44070570516989016
M3,x,curvature,0.03690616486089144
M3,y,t_norm,-0.018779358329550702
M3,y,x,0.16604974934965425
M3,y,y,-0.23277115548807953
M3,y,v,0.042054714294832485
M3,y,a,0.06291447059593955
M3,y,cos_theta,-0.16006067012883737
M3,y,sin_theta,0.1071664527308567
M3,y,curvature,0.14451178534071588
