seq,event_id,event_type,target_id,start_time,execute_time,distance,speed,acceleration,margin,covered_targets,camera_direction,num_covered_targets,target_angles,min_distance,max_distance,fov_degree,shot_index_for_target,marginal_hit_gain,cumulative_hit_probability
1,S_00169,shooting,S06,479.45,480.95,28.478282991884274,1.811221780611295,0.9824246501011479,0.03365978833604366,S06,,1,,,,,1.0,0.85,0.85
2,S_00134,shooting,S04,481.55,483.05,15.35816254703338,1.6160090598274792,1.3257970103149164,0.11613532645672242,S04,,1,,,,,1.0,0.85,0.85
3,P_00005,photo,,493.55,494.05,,1.1132348672598857,0.27715346422207243,0.15972452004161752,P10,-70.0,1,-69.1,29.298184103093053,29.298184103093053,45.0,,,
4,P_00017,photo,,494.55,495.05,,1.1011943135297888,1.005048052280708,0.22001258369452897,"P03,P04",-5.0,2,"-6.7,13.6",23.147876985313623,33.21243736324832,45.0,,,
5,S_00457,shooting,S11,508.55,510.05,17.36965645405119,1.0996050448628671,1.0074772954333542,0.3136610261250808,S11,,1,,,,,1.0,0.85,0.85
6,P_00035,photo,,510.55,511.05,,1.1789166258937291,1.2236699002236058,0.18422006651759615,"P01,P02",-80.0,2,"-80.1,-61.2",30.181420632803615,34.37250975547575,45.0,,,
7,S_00719,shooting,S12,513.75,515.25,25.99401025881584,1.228368633261556,0.3777961193610066,0.08662755033661924,S12,,1,,,,,1.0,0.85,0.85
8,S_00509,shooting,S11,515.35,516.85,20.62503170760264,1.1981289931451415,0.1299796569752984,0.2776258990940545,S11,,1,,,,,2.0,0.1275,0.9775
9,S_00525,shooting,S11,516.95,518.45,19.485411508426054,1.198060886058689,1.2117755940760442,0.1921496039493039,S11,,1,,,,,3.0,0.019125000000000003,0.996625
10,S_00752,shooting,S12,522.15,523.65,26.215467053690052,0.7139731347853461,1.0632629927681732,0.12499213847628932,S12,,1,,,,,2.0,0.1275,0.9775
11,S_00543,shooting,S11,523.85,525.35,26.915127477681136,1.2251726746186091,0.4745478253248056,0.108442806079536,S11,,1,,,,,4.0,0.0028687500000000015,0.99949375
12,S_00307,shooting,S10,525.45,526.95,16.707683617444474,1.3750956557462266,0.2101651773901656,0.1467901617183638,S10,,1,,,,,1.0,0.85,0.85
13,S_00323,shooting,S10,527.05,528.55,20.300209847554367,1.8125959821595943,0.7412816530765193,0.0852638453862159,S10,,1,,,,,2.0,0.1275,0.9775
14,S_00346,shooting,S10,532.75,534.25,24.602687776606864,0.9489941664271319,0.7897025860830696,0.17933833577470096,S10,,1,,,,,3.0,0.019125000000000003,0.996625
15,S_00364,shooting,S10,534.55,536.05,27.30201402773807,1.684221445541882,0.600130140499503,0.10791943889047716,S10,,1,,,,,4.0,0.0028687500000000015,0.99949375
16,S_00945,shooting,S16,748.65,750.15,22.897368201828094,1.8885827868985845,0.15884932580738045,0.05570860655070775,S16,,1,,,,,1.0,0.85,0.85
17,S_00925,shooting,S15,750.35,751.85,15.704305453657552,1.506761305982304,0.19003567478317088,0.029358318969770036,S15,,1,,,,,1.0,0.85,0.85
18,S_00904,shooting,S14,751.95,753.45,11.012204290095347,1.8797572431926395,0.4199810175677014,0.024849206735746976,S14,,1,,,,,1.0,0.85,0.85
19,S_00610,shooting,S11,762.15,763.65,19.32222832514752,1.62926617425347,0.29444162654154254,0.13632875916347187,S11,,1,,,,,5.0,0.00043031250000000025,0.9999240625
20,S_00828,shooting,S12,763.75,765.25,18.441897818474832,1.8068663746566012,0.06924853758703266,0.09656681267169942,S12,,1,,,,,3.0,0.019125000000000003,0.996625
21,S_00848,shooting,S12,765.75,767.25,22.14682849355188,1.8011329557281786,0.15877964862028496,0.08047353537288104,S12,,1,,,,,4.0,0.0028687500000000015,0.99949375
22,S_00437,shooting,S10,767.45,768.95,13.239789937247382,1.6268750762713662,0.15738571597504905,0.10694213062772617,S10,,1,,,,,5.0,0.00043031250000000025,0.9999240625
