window_length,polyorder,fidelity_mean,fidelity_p95,fidelity_max,speed_p95,speed_max,acceleration_p95,acceleration_max,jerk_p95,jerk_max,feasible_candidate_count,MILP_task_count,MILP_coverage_count,selected_margin_sum,candidate_count_monotone_increasing
21,2,0.36745513757326825,0.7024242029023824,1.2911702934879374,6.7164951785047275,9.789583653160395,4.522355095930399,6.290148289096439,7.998907465162678,13.616697802809673,54,3,3,0.49100000000000005,False
21,3,0.3671693929702964,0.7021909249057695,1.291170293487973,6.716495178504739,9.789583653160346,4.59027644019904,8.576783959189418,8.067795251601437,21.441951249555498,54,3,3,0.49100000000000005,False
31,2,0.43413728601122814,0.8217989236611664,1.2928732531094702,6.532719774535732,9.112365448156329,3.0553196478769546,4.641516893211028,3.9415698232991496,10.689357473794411,194,8,8,1.085,False
31,3,0.4334799891386039,0.8181026936966939,1.2928732531094702,6.532719774535708,9.112365448156329,3.0540195407845907,4.641516893210979,3.9561790379610096,10.715416942678102,176,8,8,0.971,False
41,2,0.5365831655024037,0.9994333495520246,1.4996190334943826,6.424602523506865,8.340271883913704,2.123825243005683,3.1376764244747513,2.2214069485769743,7.132586464104844,328,9,9,2.024,False
41,3,0.536057799902162,0.9976789254359646,1.4996190334943995,6.42460252350687,8.340271883913726,2.1427595688060985,5.498327708977036,2.2315719757674275,13.745816554990782,328,9,9,2.024,False
51,2,0.6734529303118617,1.2325369671516135,1.7562393519163868,6.467421647751586,7.839756068634541,1.515003349641504,2.443653089900459,1.2691352313950912,3.6954527171670035,574,9,9,1.77,False
51,3,0.6704465711936614,1.230469460878217,1.7562393519164048,6.467421647751593,7.839756068634612,1.5485658017868424,3.4026006176713715,1.2721448639951616,8.506485247474936,574,9,9,1.77,False
61,2,0.7781706819562513,1.4280529261241137,2.076302716955388,6.488729766438883,7.5281039011610495,1.2096125238031712,2.0406128106373624,0.8704551996077934,4.229258820223036,558,9,9,2.605,False
61,3,0.7756226850836024,1.425946003810251,2.076302716955428,6.488729766438879,7.528103901161028,1.2277021961966428,2.7391834311269423,0.8711927117275012,6.847912540512448,559,9,9,2.311,False
71,2,0.8590292847581971,1.6125691236389494,2.6165880048182997,6.482326783167785,7.257535196626382,1.0782953973081755,1.657118330461928,0.6451869991749903,3.1548325104506314,652,9,9,2.5989999999999998,False
71,3,0.8525873612772815,1.607775360412114,2.2950761528809367,6.4823267831678235,7.25753519662642,1.106397016736785,2.3759577633621847,0.6494867576414374,5.939887170664373,655,9,9,2.592,False
81,2,0.9196504812177054,1.7659742504387308,3.081543027635918,6.4683262317715435,7.05388702076949,1.0042289218497786,1.3882713308855732,0.5281196686080534,1.9818682074580911,607,9,9,1.936,False
81,3,0.9144564652926559,1.7568995867221564,2.5563357427739644,6.468326231771634,7.053887020769486,1.0341937659646347,1.8140935650924406,0.5287120686681827,4.535233837537707,607,9,9,2.278,False
91,2,0.9713211190677703,1.886985233292572,3.3780789299204996,6.485952550435957,7.036107228524615,0.9233663165732272,1.2380091626401943,0.39549926282624454,1.43038078004744,530,9,9,1.935,False
91,3,0.9674563013712213,1.8777962787990259,2.6941397846356865,6.485952550435901,7.036107228524604,0.9494693198106531,1.2959272709405227,0.39674835783459794,3.239818149735647,541,9,9,1.9429999999999998,False
