target_id,task_type,z_k,number_selected_candidates,covered_or_not,z_matches_selection,model
P01,拍照,1,1,True,True,R1
P02,拍照,1,1,True,True,R1
P03,拍照,1,1,True,True,R1
P04,拍照,1,1,True,True,R1
P10,拍照,1,1,True,True,R1
P11,拍照,1,1,True,True,R1
S01,射击,0,0,False,True,R1
S02,射击,0,0,False,True,R1
S03,射击,0,0,False,True,R1
S04,射击,0,0,False,True,R1
S05,射击,0,0,False,True,R1
S06,射击,0,0,False,True,R1
S10,射击,1,1,True,True,R1
S11,射击,1,1,True,True,R1
S12,射击,1,1,True,True,R1
S13,射击,0,0,False,True,R1
S14,射击,0,0,False,True,R1
S15,射击,0,0,False,True,R1
S16,射击,0,0,False,True,R1
P01,拍照,1,1,True,True,R2
P02,拍照,1,1,True,True,R2
P03,拍照,1,1,True,True,R2
P04,拍照,0,0,False,True,R2
P10,拍照,1,1,True,True,R2
P11,拍照,1,1,True,True,R2
S01,射击,0,0,False,True,R2
S02,射击,0,0,False,True,R2
S03,射击,1,1,True,True,R2
S04,射击,0,0,False,True,R2
S05,射击,0,0,False,True,R2
S12,射击,1,1,True,True,R2
P01,拍照,1,1,True,True,R3
P02,拍照,1,1,True,True,R3
P03,拍照,1,1,True,True,R3
P04,拍照,1,1,True,True,R3
P10,拍照,1,1,True,True,R3
P11,拍照,1,1,True,True,R3
S01,射击,0,0,False,True,R3
S02,射击,0,0,False,True,R3
S03,射击,0,0,False,True,R3
S04,射击,1,1,True,True,R3
S05,射击,0,0,False,True,R3
S10,射击,0,0,False,True,R3
S11,射击,1,1,True,True,R3
S12,射击,1,1,True,True,R3
S14,射击,0,0,False,True,R3
S15,射击,0,0,False,True,R3
S16,射击,0,0,False,True,R3
P01,拍照,1,1,True,True,R4
P02,拍照,1,1,True,True,R4
P03,拍照,1,1,True,True,R4
P04,拍照,1,1,True,True,R4
P10,拍照,1,1,True,True,R4
P11,拍照,1,1,True,True,R4
S01,射击,0,0,False,True,R4
S02,射击,0,0,False,True,R4
S03,射击,1,1,True,True,R4
S04,射击,0,0,False,True,R4
S05,射击,0,0,False,True,R4
S10,射击,1,1,True,True,R4
S11,射击,0,0,False,True,R4
S12,射击,1,1,True,True,R4
S14,射击,0,0,False,True,R4
S15,射击,0,0,False,True,R4
S16,射击,0,0,False,True,R4
