model,task_key,任务,目标编号,exec_time,margin_mean,margin_worst,scenario_feasible_rate,feasible_scenarios
R1,拍照|P10|493.8,拍照,P10,493.75,0.11541698356474513,0.0,0.8,4
R1,拍照|P03|494.4,拍照,P03,494.35,0.21466582129982914,0.03256423301975694,1.0,5
R1,拍照|P11|495.0,拍照,P11,494.95,0.19043065730170522,0.12665770551250408,1.0,5
R1,拍照|P04|495.6,拍照,P04,495.55,0.06672064134377038,0.034449052725057605,1.0,5
R1,拍照|P02|509.0,拍照,P02,509.05,0.24318450314631898,0.0,0.8,4
R1,拍照|P01|509.6,拍照,P01,509.55,0.1681033783278417,0.03892589569952835,1.0,5
R1,射击|S10|511.4,射击,S10,511.35,0.11100661287114819,0.0,0.6,3
R1,射击|S11|516.8,射击,S11,516.75,0.1160334750164476,0.0,0.4,2
R1,射击|S12|763.8,射击,S12,763.75,0.12049579949650042,0.09667618292788938,1.0,5
R2,射击|S03|483.0,射击,S03,482.95,0.10869220670295135,0.07887514218455294,1.0,5
R2,拍照|P10|494.2,拍照,P10,494.15,0.1557366967555866,0.04411964707822028,1.0,5
R2,拍照|P11|495.0,拍照,P11,494.95,0.19043065730170522,0.12665770551250408,1.0,5
R2,拍照|P03|495.6,拍照,P03,495.55,0.06672064134377038,0.034449052725057605,1.0,5
R2,拍照|P01|509.2,拍照,P01,509.15,0.2117022823132527,0.20239682679405746,1.0,5
R2,拍照|P02|510.8,拍照,P02,510.85,0.10904294023857401,0.05065223000340483,1.0,5
R2,射击|S12|763.8,射击,S12,763.75,0.12049579949650042,0.09667618292788938,1.0,5
R3,射击|S04|483.0,射击,S04,482.95,0.10869220670295135,0.07887514218455294,1.0,5
R3,拍照|P04|493.8,拍照,P04,493.75,0.11541698356474513,0.0,0.8,4
R3,拍照|P03|494.4,拍照,P03,494.35,0.21466582129982914,0.03256423301975694,1.0,5
R3,拍照|P10|495.0,拍照,P10,494.95,0.19043065730170522,0.12665770551250408,1.0,5
R3,拍照|P11|495.6,拍照,P11,495.55,0.06672064134377038,0.034449052725057605,1.0,5
R3,拍照|P01|508.8,拍照,P01,508.75,0.11032682525588651,0.0,0.8,4
R3,拍照|P02|509.6,拍照,P02,509.65,0.23283512658470928,0.03892589569952835,1.0,5
R3,射击|S11|523.8,射击,S11,523.75,0.09582134267072326,0.0,0.8,4
R3,射击|S12|763.8,射击,S12,763.75,0.12049579949650042,0.09667618292788938,1.0,5
R4,射击|S03|483.0,射击,S03,482.95,0.10869220670295135,0.07887514218455294,1.0,5
R4,拍照|P11|493.4,拍照,P11,493.35,0.012401096969757308,0.0,0.8,4
R4,拍照|P04|494.2,拍照,P04,494.15,0.15169117186608846,0.04411964707822028,1.0,5
R4,拍照|P03|495.0,拍照,P03,494.95,0.19043065730170522,0.12665770551250408,1.0,5
R4,拍照|P10|495.8,拍照,P10,495.75,0.03993686523402611,0.034449052725057605,1.0,5
R4,拍照|P01|509.2,拍照,P01,509.15,0.2117022823132527,0.20239682679405746,1.0,5
R4,拍照|P02|510.8,拍照,P02,510.85,0.10904294023857401,0.05065223000340483,1.0,5
R4,射击|S10|514.6,射击,S10,514.55,0.06024999397567794,0.0,0.8,4
R4,射击|S12|763.8,射击,S12,763.75,0.12049579949650042,0.09667618292788938,1.0,5
