seq,event_id,event_type,target_id,start_time,execute_time,distance,speed,acceleration,margin,score,shot_index_for_target,marginal_hit_gain,cumulative_hit_probability
1,S_00113,shooting,S04,479.45,480.95,12.67718805794224,1.811221780611295,0.9824246501011479,0.03365978833604366,-0.9282402116639563,1,0.85,0.85
2,S_00106,shooting,S03,481.55,483.05,15.081871788004038,1.6160090598274792,1.3257970103149164,0.11613532645672242,-0.8499646735432776,1,0.85,0.85
3,S_00040,shooting,S01,493.75,495.25,24.062963145189006,1.259594527459125,0.7711090617555076,0.21735249621258848,-0.7731475037874116,1,0.85,0.85
4,S_00664,shooting,S12,506.65,508.15,25.75696935834202,1.2426605402815418,1.486550791635539,0.008966138909640708,-1.0073338610903593,4,0.0028687500000000015,0.99949375
5,S_00457,shooting,S11,508.55,510.05,17.36965645405119,1.0996050448628671,1.0074772954333542,0.3136610261250808,-0.7064389738749193,1,0.85,0.85
6,S_00221,shooting,S10,510.15,511.65,9.684371855691163,1.285572296697203,0.9288117571898472,0.18422006651759615,-0.8390799334824037,1,0.85,0.85
7,S_00704,shooting,S12,512.25,513.75,25.781816803919025,1.8247871028282718,0.8101720269935457,0.07865336045580906,-0.948846639544191,3,0.019125000000000003,0.996625
8,S_00729,shooting,S12,514.75,516.25,25.51289407885527,1.0864515455843422,1.0835611513589183,0.16023958964736637,-0.8722604103526336,2,0.1275,0.9775
9,S_00750,shooting,S12,516.85,518.35,23.60665521906004,1.1485320427599421,0.44827132051214835,0.20767611972595545,-0.8290238802740447,1,0.85,0.85
10,S_00530,shooting,S11,522.55,524.05,24.773484761737087,0.5468966688646276,0.4490661191434624,0.13434036371026967,-0.9137596362897303,2,0.1275,0.9775
11,S_00546,shooting,S11,524.15,525.65,27.46911790371602,1.1080458263790678,0.3303489253239227,0.10123528385135927,-0.9500647161486406,3,0.019125000000000003,0.996625
12,S_00310,shooting,S10,525.75,527.25,16.419975549787246,1.4159827101955578,1.020378871418589,0.1467901617183638,-0.9077098382816362,3,0.019125000000000003,0.996625
13,S_00326,shooting,S10,527.35,528.85,20.900855871107336,1.9048096955730573,0.343461480464551,0.04406684622471735,-1.0136331537752827,5,0.00043031250000000025,0.9999240625
14,S_00345,shooting,S10,532.65,534.15,24.639038675169015,0.8988388384420427,0.6287139391572159,0.17933833577470096,-0.8889616642252991,2,0.1275,0.9775
15,S_00364,shooting,S10,534.55,536.05,27.30201402773807,1.684221445541882,0.600130140499503,0.10791943889047716,-0.9641805611095227,4,0.0028687500000000015,0.99949375
16,S_00908,shooting,S15,748.65,750.15,13.48232493299595,1.8885827868985845,0.15884932580738045,0.05570860655070775,-1.4445913934492922,1,0.85,0.85
17,S_00899,shooting,S14,751.45,752.95,11.426347387919282,1.7871398337826445,0.7759894997036361,0.10643008310867774,-1.3994699168913223,1,0.85,0.85
18,S_00866,shooting,S13,762.05,763.55,28.692171622787942,1.6347529377580816,0.45632845676258427,0.003053626857507794,-1.524046373142492,1,0.85,0.85
19,S_00625,shooting,S11,763.65,765.15,19.48729389938385,1.7995807782559856,0.07663095679462602,0.1002096108720072,-1.4300903891279928,4,0.0028687500000000015,0.99949375
20,S_00641,shooting,S11,765.25,766.75,22.003503081609157,1.828239180017358,0.11231740593438178,0.08047353537288104,-1.453026464627119,5,0.00043031250000000025,0.9999240625
21,S_00865,shooting,S12,767.45,768.95,24.125016103538645,1.6268750762713662,0.15738571597504905,0.10694213062772617,-1.430957869372274,5,0.00043031250000000025,0.9999240625
