target_id,feasible_event_count,feasible_time_intervals,selected_shots,hit_probability,expected_hit_contribution,first_shot_gain,last_shot_gain,min_selected_margin,risk_level,reason_if_unselected
S01,52,480.4-483.0;494.0-496.4,0,0.0,0.0,0.0,0.0,,高,time_conflict
S02,27,480.4-480.6;494.0-496.4,0,0.0,0.0,0.0,0.0,,高,time_conflict
S03,28,480.4-483.0,1,0.85,0.85,0.85,0.85,0.11613532645672242,低,
S04,28,480.4-483.0,0,0.0,0.0,0.0,0.0,,高,time_conflict
S05,28,480.4-483.0,0,0.0,0.0,0.0,0.0,,高,time_conflict
S06,23,480.4-482.6,1,0.85,0.85,0.85,0.85,0.03365978833604366,中,
S07,0,,0,0.0,0.0,0.0,0.0,,高,no_feasible_window
S08,0,,0,0.0,0.0,0.0,0.0,,高,no_feasible_window
S09,0,,0,0.0,0.0,0.0,0.0,,高,no_feasible_window
S10,252,508.2-512.0;513.8-518.4;523.6-529.4;532.8-537.2;753.2-753.6;763.6-769.0,5,0.9999240625,0.9999240625,0.85,0.00043031250000000025,0.06230997575787237,中,
S11,226,508.2-512.0;513.8-518.4;523.6-528.2;750.0-753.6;763.6-769.0,5,0.9999240625,0.9999240625,0.85,0.00043031250000000025,0.08047353537288104,低,
S12,202,508.2-512.0;513.8-518.4;523.6-525.6;527.6-527.6;750.0-753.6;763.6-769.0,5,0.9999240625,0.9999240625,0.85,0.00043031250000000025,0.008966138909640708,高,
S13,4,763.6-763.8,1,0.85,0.85,0.85,0.85,0.003053626857507794,高,
S14,37,750.0-753.6,1,0.85,0.85,0.85,0.85,0.029358318969770036,高,
S15,37,750.0-753.6,1,0.85,0.85,0.85,0.85,0.05570860655070775,中,
S16,37,750.0-753.6,1,0.85,0.85,0.85,0.85,0.024849206735746976,高,
S17,0,,0,0.0,0.0,0.0,0.0,,高,no_feasible_window
S18,0,,0,0.0,0.0,0.0,0.0,,高,no_feasible_window
