dataset,time_center,bx,by,bias_norm,window_points
附件2,179.02630060767507,3.387167608602824,-1.805200053288917,3.838183377740371,345
附件2,190.52630060767507,3.4135928365432395,-1.7807593624933558,3.850158433208569,345
附件2,202.02630060767507,3.5464941981289306,-1.7581254786635048,3.9583615671244514,345
附件2,213.52630060767507,3.553828935960327,-1.6751980902584447,3.9288660893029235,345
附件2,225.02630060767507,3.571682210780792,-1.680293858072774,3.947189033259625,345
附件2,236.52630060767507,3.574721329552993,-1.7572083666991394,3.9832667281966665,345
附件2,248.02630060767507,3.5878680880213683,-1.8379952672167597,4.031255886117044,345
附件2,259.52630060767507,3.5626353400528448,-1.891044183878705,4.033412782195113,345
附件2,271.02630060767507,3.4762093658379136,-1.9111282466404438,3.9669185434347156,345
附件2,282.52630060767507,3.3720948734135128,-1.917921796679753,3.879361784299189,345
附件2,294.02630060767507,3.3948594390770843,-1.8792232080993294,3.8802771134224305,345
附件2,305.52630060767507,3.3840578510748003,-1.778279384128416,3.822842542851737,345
附件2,317.02630060767507,3.448820633773476,-1.8406629704906154,3.909271535065966,345
附件2,328.52630060767507,3.4494759487264908,-1.793954037984965,3.8880786271942966,345
附件2,340.02630060767507,3.454005334142959,-1.7242947496041385,3.860485103170379,345
附件2,351.52630060767507,3.398372275253198,-1.6139729127425237,3.762159311389695,345
附件2,363.02630060767507,3.3764058960571504,-1.6592058905382778,3.7620580753261117,345
附件2,374.52630060767507,3.409273123503109,-1.8143803861655643,3.8620097638849837,345
附件2,386.02630060767507,3.3996370755661545,-2.0646821192140647,3.9774922374489026,345
附件2,397.52630060767507,3.4765460242751836,-2.0122580055040835,4.016908579942896,345
附件2,409.02630060767507,3.5691962699790594,-2.0151652533967326,4.098786773196423,345
附件2,420.52630060767507,3.61973708005258,-1.948731450444681,4.110967136168788,345
附件2,432.0263006076751,3.4347104214064803,-1.8946086664198614,3.922598332456629,345
附件2,443.5263006076751,3.2378005752344516,-1.7643582179793214,3.6873177902561793,345
附件2,455.0263006076751,3.1664059565833935,-1.6760063176305442,3.5826141096445614,345
附件2,466.5263006076751,3.4913784756694777,-1.6443490455318166,3.8592236840988527,345
附件2,478.0263006076751,3.6072661759240416,-1.6474234063703035,3.9656491453256923,345
附件2,489.5263006076751,3.629082143375661,-1.7090078801647484,4.011352033645674,345
附件2,501.0263006076751,3.4762975776038942,-1.7525917132920976,3.8930993516162458,345
附件2,512.5263006076751,3.4936123965959758,-1.8829014750056625,3.968708296439482,345
附件2,524.0263006076751,3.482816298952487,-1.7122290169305445,3.8809454490714033,345
附件2,535.5263006076751,3.5866854308042466,-1.8268653660763368,4.025139680223864,345
附件2,547.0263006076751,3.5184333774742154,-1.8758018340761922,3.9872303610963113,345
附件2,558.5263006076751,3.5244037802184245,-1.920869797167601,4.013871296353263,345
附件2,570.0263006076751,3.518183544717763,-1.9654774414161027,4.029977298576064,345
附件2,581.5263006076751,3.377111513925618,-1.8774497859214607,3.8638969805295686,345
附件2,593.0263006076751,3.525509968829464,-1.8804795848262827,3.9956756636724604,345
附件2,604.5263006076751,3.5129661713961724,-1.826116467891044,3.9592464782678967,345
附件2,616.0263006076751,3.542680814808996,-1.8874717431486858,4.01411720516485,345
附件2,627.5263006076751,3.551679394550696,-1.840005809491509,4.0000059875753315,345
附件2,639.0263006076751,3.5211042590278296,-1.8020734114365768,3.955457468252008,345
附件2,650.5263006076751,3.6364658639062313,-1.7368053069054725,4.029935068143196,345
附件2,662.0263006076751,3.6145294041900335,-1.7368053069054725,4.0101515542245245,345
附件2,673.5263006076751,3.5925342242752443,-1.7299130627444046,3.987342643571362,345
附件2,685.0263006076751,3.5346594005003205,-1.7335827430516186,3.936892963308967,345
附件2,696.5263006076751,3.5242204561511272,-1.7276422649294148,3.9249047910904156,345
附件2,708.0263006076751,3.467111396981471,-1.8129398550068272,3.9124943906606413,345
附件2,719.5263006076751,3.454057113138478,-1.8127624482534905,3.900848399338342,345
附件2,731.0263006076751,3.359091312102775,-2.032350617355169,3.9260595353239713,345
附件2,742.5263006076751,3.43263666923891,-1.892035329459425,3.919539793257141,345
附件2,754.0263006076751,3.3973997297706715,-1.8475839785510466,3.8672847686257015,345
附件2,765.5263006076751,3.4274960244577355,-1.6926685220257216,3.8226765130115736,345
附件2,777.0263006076751,3.51368630768364,-1.758193328291811,3.929024719755951,345
附件2,788.5263006076751,3.6067671386469686,-1.8797785002896932,4.067227114702965,345
附件2,800.0263006076751,3.600917806207428,-1.980119632520523,4.109438259197348,345
附件2,811.5263006076751,3.4824842122227997,-1.891033931013351,3.962790130277512,345
附件2,823.0263006076751,3.321642600350149,-1.864174298941825,3.808996637081233,345
附件2,834.5263006076751,3.313900005414915,-1.8033220564253998,3.772784606239708,345
